code,day,sport,venue,zone,starts_at,sex,description,type,order_in_session,event_number
FBL01,-2,Football (Soccer) - Preliminary Stages,TBD,TBD,2028-07-12T00:00:00,Men,Men's Group Stage,Preliminary,1,1
FBL02,-2,Football (Soccer) - Preliminary Stages,TBD,TBD,2028-07-12T00:00:00,Men,Men's Group Stage,Preliminary,1,2
FBL03,-2,Football (Soccer) - Preliminary Stages,TBD,TBD,2028-07-12T00:00:00,Men,Men's Group Stage,Preliminary,1,3
FBL04,-2,Football (Soccer) - Preliminary Stages,TBD,TBD,2028-07-12T00:00:00,Men,Men's Group Stage,Preliminary,1,4
FBL05,-2,Football (Soccer) - Preliminary Stages,TBD,TBD,2028-07-12T00:00:00,Men,Men's Group Stage,Preliminary,1,5
FBL06,-2,Football (Soccer) - Preliminary Stages,TBD,TBD,2028-07-12T00:00:00,Men,Men's Group Stage,Preliminary,1,6
CKT01,-2,Cricket,Fairgrounds Cricket Stadium,Pomona,2028-07-12T09:00:00,Women,Women's Preliminary Round 1,Preliminary,1,7
HBL01,-2,Handball,Long Beach Arena,Long Beach,2028-07-12T09:00:00,Men,Men's Preliminary Round (2 Matches),Preliminary,1,8
HOC01,-2,Hockey,Carson Field,Carson,2028-07-12T09:00:00,Men,Men's Pool (2 Matches),Preliminary,1,9
RU701,-2,Rugby Sevens,Carson Stadium,Carson,2028-07-12T10:00:00,Women,Women's Pool Play (6 Matches),Preliminary,1,10
WPO01,-2,Water Polo,Long Beach Aquatics Center,Long Beach,2028-07-12T10:00:00,Men,Men's Preliminary (2 Matches),Preliminary,1,11
BKB01,-2,Basketball,Inglewood Dome,Inglewood,2028-07-12T12:00:00,Women,Women's Group Phase (2 Games),Preliminary,1,12
HBL02,-2,Handball,Long Beach Arena,Long Beach,2028-07-12T14:00:00,Men,Men's Preliminary Round (2 Matches),Preliminary,1,13
WPO02,-2,Water Polo,Long Beach Aquatics Center,Long Beach,2028-07-12T14:30:00,Men,Men's Preliminary (2 Matches),Preliminary,1,14
RU702,-2,Rugby Sevens,Carson Stadium,Carson,2028-07-12T16:00:00,Women,Women's Pool Play (6 Matches),Preliminary,1,15
HOC02,-2,Hockey,Carson Field,Carson,2028-07-12T17:00:00,Men,Men's Pool (2 Matches),Preliminary,1,16
BKB02,-2,Basketball,Inglewood Dome,Inglewood,2028-07-12T18:00:00,Women,Women's Group Phase,Preliminary,1,17
CKT02,-2,Cricket,Fairgrounds Cricket Stadium,Pomona,2028-07-12T18:00:00,Women,Women's Preliminary Round 1,Preliminary,1,18
HBL03,-2,Handball,Long Beach Arena,Long Beach,2028-07-12T19:00:00,Men,Men's Preliminary Round (2 Matches),Preliminary,1,19
WPO03,-2,Water Polo,Long Beach Aquatics Center,Long Beach,2028-07-12T19:00:00,Men,Men's Preliminary (2 Matches),Preliminary,1,20
BKB03,-2,Basketball,Inglewood Dome,Inglewood,2028-07-12T21:30:00,Women,Women's Group Phase,Preliminary,1,21
FBL07,-1,Football (Soccer) - Preliminary Stages,TBD,TBD,2028-07-13T00:00:00,Women,Women's Group Stage,Preliminary,1,22
FBL08,-1,Football (Soccer) - Preliminary Stages,TBD,TBD,2028-07-13T00:00:00,Women,Women's Group Stage,Preliminary,1,23
FBL09,-1,Football (Soccer) - Preliminary Stages,TBD,TBD,2028-07-13T00:00:00,Women,Women's Group Stage,Preliminary,1,24
FBL10,-1,Football (Soccer) - Preliminary Stages,TBD,TBD,2028-07-13T00:00:00,Women,Women's Group Stage,Preliminary,1,25
FBL11,-1,Football (Soccer) - Preliminary Stages,TBD,TBD,2028-07-13T00:00:00,Women,Women's Group Stage,Preliminary,1,26
FBL12,-1,Football (Soccer) - Preliminary Stages,TBD,TBD,2028-07-13T00:00:00,Women,Women's Group Stage,Preliminary,1,27
FBL13,-1,Football (Soccer) - Preliminary Stages,TBD,TBD,2028-07-13T00:00:00,Women,Women's Group Stage,Preliminary,1,28
FBL14,-1,Football (Soccer) - Preliminary Stages,TBD,TBD,2028-07-13T00:00:00,Women,Women's Group Stage,Preliminary,1,29
CKT03,-1,Cricket,Fairgrounds Cricket Stadium,Pomona,2028-07-13T09:00:00,Women,Women's Preliminary Round 1,Preliminary,1,30
HBL04,-1,Handball,Long Beach Arena,Long Beach,2028-07-13T09:00:00,Women,Women's Preliminary Round (2 Matches),Preliminary,1,31
HOC03,-1,Hockey,Carson Field,Carson,2028-07-13T09:00:00,Women,Women's Pool (2 Matches),Preliminary,1,32
RU703,-1,Rugby Sevens,Carson Stadium,Carson,2028-07-13T10:00:00,Women,Women's Pool Play (6 Matches),Preliminary,1,33
WPO04,-1,Water Polo,Long Beach Aquatics Center,Long Beach,2028-07-13T10:00:00,Women,Women's Preliminary (2 Matches),Preliminary,1,34
BSB01,-1,Baseball,Dodger Stadium,DTLA,2028-07-13T11:00:00,Men,Men's Preliminary Round,Preliminary,1,35
BKB04,-1,Basketball,Inglewood Dome,Inglewood,2028-07-13T12:00:00,Men,Men's Group Phase (2 Games),Preliminary,1,36
HBL05,-1,Handball,Long Beach Arena,Long Beach,2028-07-13T14:00:00,Women,Women's Preliminary Round (2 Matches),Preliminary,1,37
WPO05,-1,Water Polo,Long Beach Aquatics Center,Long Beach,2028-07-13T14:30:00,Women,Women's Preliminary (2 Matches),Preliminary,1,38
RU704,-1,Rugby Sevens,Carson Stadium,Carson,2028-07-13T16:00:00,Women,Women's Classification 9-12 (2 Matches),N/A,1,39
RU704,-1,Rugby Sevens,Carson Stadium,Carson,2028-07-13T16:00:00,Women,Women's Quarterfinal (4 Matches),Quarterfinal,2,40
HOC04,-1,Hockey,Carson Field,Carson,2028-07-13T17:00:00,Women,Women's Pool (2 Matches),Preliminary,1,41
BKB05,-1,Basketball,Inglewood Dome,Inglewood,2028-07-13T18:00:00,Women,Women's Group Phase,Preliminary,1,42
CKT04,-1,Cricket,Fairgrounds Cricket Stadium,Pomona,2028-07-13T18:00:00,Women,Women's Preliminary Round 1,Preliminary,1,43
BSB02,-1,Baseball,Dodger Stadium,DTLA,2028-07-13T19:00:00,Men,Men's Preliminary Round,Preliminary,1,44
HBL06,-1,Handball,Long Beach Arena,Long Beach,2028-07-13T19:00:00,Women,Women's Preliminary Round (2 Matches),Preliminary,1,45
WPO06,-1,Water Polo,Long Beach Aquatics Center,Long Beach,2028-07-13T19:00:00,Women,Women's Preliminary (2 Matches),Preliminary,1,46
BKB06,-1,Basketball,Inglewood Dome,Inglewood,2028-07-13T21:30:00,Women,Women's Group Phase,Preliminary,1,47
CSL01,0,Canoe Slalom,OKC Whitewater Center,OKC,2028-07-14T09:00:00,Men,Men's Kayak Single Heats - 1st and 2nd Run,Preliminary,1,48
CSL01,0,Canoe Slalom,OKC Whitewater Center,OKC,2028-07-14T09:00:00,Women,Women's Kayak Single Heats - 1st and 2nd Run,Preliminary,2,49
FBL15,1,Football (Soccer) - Preliminary Stages,TBD,TBD,2028-07-15T00:00:00,Men,Men's Group Stage,Preliminary,1,50
FBL16,1,Football (Soccer) - Preliminary Stages,TBD,TBD,2028-07-15T00:00:00,Men,Men's Group Stage,Preliminary,1,51
FBL17,1,Football (Soccer) - Preliminary Stages,TBD,TBD,2028-07-15T00:00:00,Men,Men's Group Stage,Preliminary,1,52
FBL18,1,Football (Soccer) - Preliminary Stages,TBD,TBD,2028-07-15T00:00:00,Men,Men's Group Stage,Preliminary,1,53
FBL19,1,Football (Soccer) - Preliminary Stages,TBD,TBD,2028-07-15T00:00:00,Men,Men's Group Stage,Preliminary,1,54
FBL20,1,Football (Soccer) - Preliminary Stages,TBD,TBD,2028-07-15T00:00:00,Men,Men's Group Stage,Preliminary,1,55
SRF01,1,Surfing,Trestles State Beach,Trestles Beach,2028-07-15T07:00:00,Men,Men's Round 1,N/A,1,56
SRF01,1,Surfing,Trestles State Beach,Trestles Beach,2028-07-15T07:00:00,Women,Women's Round 1,N/A,2,57
TRI01,1,Triathlon,Venice Beach,Venice,2028-07-15T07:30:00,Women,Women's Individual,Final,1,58
BDM01,1,Badminton,Galen Center,Exposition Park,2028-07-15T08:00:00,Men,Men's Doubles Group Play Stage,N/A,1,59
BDM01,1,Badminton,Galen Center,Exposition Park,2028-07-15T08:00:00,Women,Women's Doubles Group Play Stage,N/A,2,60
BDM01,1,Badminton,Galen Center,Exposition Park,2028-07-15T08:00:00,Mixed,Mixed Doubles Group Play Stage,N/A,3,61
BDM01,1,Badminton,Galen Center,Exposition Park,2028-07-15T08:00:00,Men,Men's Singles Group Play Stage,N/A,4,62
BDM01,1,Badminton,Galen Center,Exposition Park,2028-07-15T08:00:00,Women,Women's Singles Group Play Stage,N/A,5,63
ATH01,1,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,2028-07-15T09:00:00,Women,Women's 100m Preliminary,Preliminary,1,64
ATH01,1,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,2028-07-15T09:00:00,Men,Men's 100m Preliminary,Preliminary,2,65
ATH01,1,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,2028-07-15T09:00:00,Women,Women's 5000m Round 1,N/A,3,66
ATH01,1,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,2028-07-15T09:00:00,Women,Women's Shot Put Qualification A and B,Preliminary,4,67
ATH01,1,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,2028-07-15T09:00:00,Men,Men's Pole Vault Qualification A and B,Preliminary,5,68
ATH01,1,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,2028-07-15T09:00:00,Women,Women's 800m Round 1,N/A,6,69
ATH01,1,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,2028-07-15T09:00:00,Women,Women's Hammer Throw Qualification A and B,Preliminary,7,70
ATH01,1,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,2028-07-15T09:00:00,Women,Women's 100m Round 1,N/A,8,71
ATH01,1,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,2028-07-15T09:00:00,Men,Men's 100m Round 1,N/A,9,72
CKT05,1,Cricket,Fairgrounds Cricket Stadium,Pomona,2028-07-15T09:00:00,Women,Women's Preliminary Round 1,Preliminary,1,73
EQU01,1,Equestrian,Santa Anita Park,Arcadia,2028-07-15T09:00:00,and/or,"Eventing Dressage Team & Individual - Day 1, Session 1",Preliminary,1,74
FEN01,1,Fencing,LA Convention Center Hall 1,DTLA,2028-07-15T09:00:00,Women,Women's Épée Individual Table of 64,N/A,1,75
FEN01,1,Fencing,LA Convention Center Hall 1,DTLA,2028-07-15T09:00:00,Men,Men's Sabre Individual Table of 64,N/A,2,76
FEN01,1,Fencing,LA Convention Center Hall 1,DTLA,2028-07-15T09:00:00,Women,Women's Épée Individual Table of 32,N/A,3,77
FEN01,1,Fencing,LA Convention Center Hall 1,DTLA,2028-07-15T09:00:00,Men,Men's Sabre Individual Table of 32,N/A,4,78
FEN01,1,Fencing,LA Convention Center Hall 1,DTLA,2028-07-15T09:00:00,Women,Women's Épée Individual Table of 16,N/A,5,79
FEN01,1,Fencing,LA Convention Center Hall 1,DTLA,2028-07-15T09:00:00,Men,Men's Sabre Individual Table of 16,N/A,6,80
FEN01,1,Fencing,LA Convention Center Hall 1,DTLA,2028-07-15T09:00:00,Women,Women's Épée Individual Quarterfinal,Quarterfinal,7,81
FEN01,1,Fencing,LA Convention Center Hall 1,DTLA,2028-07-15T09:00:00,Men,Men's Sabre Individual Quarterfinal,Quarterfinal,8,82
HBL07,1,Handball,Long Beach Arena,Long Beach,2028-07-15T09:00:00,Men,Men's Preliminary Round (2 Matches),Preliminary,1,83
HOC05,1,Hockey,Carson Field,Carson,2028-07-15T09:00:00,Men,Men's Pool (2 Matches),Preliminary,1,84
MPN01,1,Modern Pentathlon,Valley Complex 2,Valley,2028-07-15T09:00:00,Women,Women's Individual Semifinal,Semifinal,1,85
VBV01,1,Beach Volleyball,Alamitos Beach Stadium,Long Beach,2028-07-15T09:00:00,and/or,Men's and/or Women's Preliminaries (3 Matches),Preliminary,1,86
VVO01,1,Volleyball,Honda Center,Anaheim,2028-07-15T09:00:00,Men,Men's Preliminary,Preliminary,1,87
CSL02,1,Canoe Slalom,OKC Whitewater Center,OKC,2028-07-15T10:00:00,Women,Women's Kayak Single Semifinal,Semifinal,1,88
CSL02,1,Canoe Slalom,OKC Whitewater Center,OKC,2028-07-15T10:00:00,Women,Women's Kayak Single Final,Final,2,89
JUD01,1,Judo,LA Convention Center Hall 2,DTLA,2028-07-15T10:00:00,Women,Women's -48kg Elimination Rounds,N/A,1,90
JUD01,1,Judo,LA Convention Center Hall 2,DTLA,2028-07-15T10:00:00,Men,Men's -60kg Elimination Rounds,N/A,2,91
TTE01,1,Table Tennis,LA Convention Center Hall 3,DTLA,2028-07-15T10:00:00,Men,Men's Singles Round of 64,N/A,1,92
TTE01,1,Table Tennis,LA Convention Center Hall 3,DTLA,2028-07-15T10:00:00,Women,Women's Singles Round of 64,N/A,2,93
TTE01,1,Table Tennis,LA Convention Center Hall 3,DTLA,2028-07-15T10:00:00,Mixed,Mixed Doubles Round of 16,N/A,3,94
WPO07,1,Water Polo,Long Beach Aquatics Center,Long Beach,2028-07-15T10:00:00,Men,Men's Preliminary (2 Matches),Preliminary,1,95
