code,day,sport,venue,zone,type,starts_at,ends_at,timezone,duration_minutes,ticketed,in_okc,num_events
FBL01,-2,Football (Soccer) - Preliminary Stages,TBD,TBD,Preliminary,2028-07-12T00:00:00,2028-07-12T23:59:00,America/Los_Angeles,1439,True,False,1
FBL02,-2,Football (Soccer) - Preliminary Stages,TBD,TBD,Preliminary,2028-07-12T00:00:00,2028-07-12T23:59:00,America/Los_Angeles,1439,True,False,1
FBL03,-2,Football (Soccer) - Preliminary Stages,TBD,TBD,Preliminary,2028-07-12T00:00:00,2028-07-12T23:59:00,America/Los_Angeles,1439,True,False,1
FBL04,-2,Football (Soccer) - Preliminary Stages,TBD,TBD,Preliminary,2028-07-12T00:00:00,2028-07-12T23:59:00,America/Los_Angeles,1439,True,False,1
FBL05,-2,Football (Soccer) - Preliminary Stages,TBD,TBD,Preliminary,2028-07-12T00:00:00,2028-07-12T23:59:00,America/Los_Angeles,1439,True,False,1
FBL06,-2,Football (Soccer) - Preliminary Stages,TBD,TBD,Preliminary,2028-07-12T00:00:00,2028-07-12T23:59:00,America/Los_Angeles,1439,True,False,1
CKT01,-2,Cricket,Fairgrounds Cricket Stadium,Pomona,Preliminary,2028-07-12T09:00:00,2028-07-12T12:30:00,America/Los_Angeles,210,True,False,1
HBL01,-2,Handball,Long Beach Arena,Long Beach,Preliminary,2028-07-12T09:00:00,2028-07-12T12:30:00,America/Los_Angeles,210,True,False,1
HOC01,-2,Hockey,Carson Field,Carson,Preliminary,2028-07-12T09:00:00,2028-07-12T14:00:00,America/Los_Angeles,300,True,False,1
RU701,-2,Rugby Sevens,Carson Stadium,Carson,Preliminary,2028-07-12T10:00:00,2028-07-12T13:00:00,America/Los_Angeles,180,True,False,1
WPO01,-2,Water Polo,Long Beach Aquatics Center,Long Beach,Preliminary,2028-07-12T10:00:00,2028-07-12T13:00:00,America/Los_Angeles,180,True,False,1
BKB01,-2,Basketball,Inglewood Dome,Inglewood,Preliminary,2028-07-12T12:00:00,2028-07-12T16:15:00,America/Los_Angeles,255,True,False,1
HBL02,-2,Handball,Long Beach Arena,Long Beach,Preliminary,2028-07-12T14:00:00,2028-07-12T17:30:00,America/Los_Angeles,210,True,False,1
WPO02,-2,Water Polo,Long Beach Aquatics Center,Long Beach,Preliminary,2028-07-12T14:30:00,2028-07-12T17:30:00,America/Los_Angeles,180,True,False,1
RU702,-2,Rugby Sevens,Carson Stadium,Carson,Preliminary,2028-07-12T16:00:00,2028-07-12T19:00:00,America/Los_Angeles,180,True,False,1
HOC02,-2,Hockey,Carson Field,Carson,Preliminary,2028-07-12T17:00:00,2028-07-12T22:00:00,America/Los_Angeles,300,True,False,1
BKB02,-2,Basketball,Inglewood Dome,Inglewood,Preliminary,2028-07-12T18:00:00,2028-07-12T19:45:00,America/Los_Angeles,105,True,False,1
CKT02,-2,Cricket,Fairgrounds Cricket Stadium,Pomona,Preliminary,2028-07-12T18:00:00,2028-07-12T21:30:00,America/Los_Angeles,210,True,False,1
HBL03,-2,Handball,Long Beach Arena,Long Beach,Preliminary,2028-07-12T19:00:00,2028-07-12T22:30:00,America/Los_Angeles,210,True,False,1
WPO03,-2,Water Polo,Long Beach Aquatics Center,Long Beach,Preliminary,2028-07-12T19:00:00,2028-07-12T22:00:00,America/Los_Angeles,180,True,False,1
BKB03,-2,Basketball,Inglewood Dome,Inglewood,Preliminary,2028-07-12T21:30:00,2028-07-12T23:15:00,America/Los_Angeles,105,True,False,1
