sport,description,icon,venues
3x3 Basketball,,,Valley Complex 3
Archery,,,Carson Stadium
Artistic Gymnastics,,,DTLA Arena
Artistic Swimming,,,Long Beach Aquatics Center
Athletics (Marathon),,,Venice Beach Boardwalk - Start
Athletics (Race Walk),,,TBD
Athletics (Track & Field),,,LA Memorial Coliseum
BMX Freestyle,,,Valley Complex 1
BMX Racing,,,Valley Complex 4
Badminton,,,Galen Center
Baseball,,,Dodger Stadium
Basketball,,,Inglewood Dome
Beach Volleyball,,,Alamitos Beach Stadium
Boxing - Final Stages,,,DTLA Arena
Boxing - Preliminary Stages,,,Peacock Theater
Canoe Slalom,,,OKC Whitewater Center
Canoe Sprint,,,Marine Stadium
Cricket,,,Fairgrounds Cricket Stadium
Cycling Road (Road Race),,,Venice Beach Boardwalk - Start
Cycling Road (Time Trial),,,TBD
Cycling Track,,,Carson Velodrome
Diving,,,Rose Bowl Aquatics Center
Equestrian,,,Santa Anita Park
Fencing,,,LA Convention Center Hall 1
Flag Football,,,Exposition Park Stadium
Football (Soccer) - Final Stages,,,Rose Bowl Stadium
Football (Soccer) - Preliminary Stages,,,TBD
Golf,,,Riviera Country Club
Handball,,,Long Beach Arena
Hockey,,,Carson Field
Judo,,,LA Convention Center Hall 2
Lacrosse,,,Exposition Park Stadium
Modern Pentathlon,,,Valley Complex 2
Mountain Bike,,,Industry Hills MTB Course
Open Water Swimming,,,Belmont Shore
Rhythmic Gymnastics,,,Galen Center
Rowing,,,Marine Stadium
Rowing Coastal Beach Sprints,,,Belmont Shore
Rugby Sevens,,,Carson Stadium
"Sailing (Dinghy, Skiff & Multihull)",,,Port of Los Angeles
Sailing (Windsurfing & Kite),,,Belmont Shore
Shooting (Rifle & Pistol),,,Long Beach Target Shooting Hall
Shooting (Shotgun),,,Whittier Narrows Clay Shooting Center
Skateboarding (Park),,,Valley Complex 2
Skateboarding (Street),,,Valley Complex 1
Softball,,,OKC Softball Park
Sport Climbing,,,Long Beach Climbing Theater
Squash,,,Comcast Squash Center at Universal Studios
Surfing,,,Trestles State Beach
Swimming,,,2028 Stadium
Table Tennis,,,LA Convention Center Hall 3
Taekwondo,,,LA Convention Center Hall 1
Tennis,,,Carson Center Court; Carson Court 1; Carson Court 2; Carson Courts 3-11
Trampoline Gymnastics,,,DTLA Arena
Triathlon,,,Venice Beach
Volleyball,,,Honda Center
Water Polo,,,Long Beach Aquatics Center
Weightlifting,,,Peacock Theater
Wrestling,,,LA Convention Center Hall 2
