date,sport,venue,zone,ticketed,inOKC,sessionType,startsAt,endsAt,startsAtUtc,endsAtUtc,durationMinutes,sessionNumber,totalSessions,sportSessionNumber,totalSportSessions,numEventsInSession
2028-07-16,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-16T14:00:00-07:00,2028-07-16T16:00:00-07:00,2028-07-16T21:00:00+00:00,2028-07-16T23:00:00+00:00,120,140,845,1,20,2
2028-07-16,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-16T17:30:00-07:00,2028-07-16T19:30:00-07:00,2028-07-17T00:30:00+00:00,2028-07-17T02:30:00+00:00,120,154,845,2,20,2
2028-07-16,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-16T21:00:00-07:00,2028-07-16T23:00:00-07:00,2028-07-17T04:00:00+00:00,2028-07-17T06:00:00+00:00,120,168,845,3,20,2
2028-07-17,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-17T14:00:00-07:00,2028-07-17T16:00:00-07:00,2028-07-17T21:00:00+00:00,2028-07-17T23:00:00+00:00,120,198,845,4,20,2
2028-07-17,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-17T17:30:00-07:00,2028-07-17T19:30:00-07:00,2028-07-18T00:30:00+00:00,2028-07-18T02:30:00+00:00,120,213,845,5,20,2
2028-07-17,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-17T21:00:00-07:00,2028-07-17T23:00:00-07:00,2028-07-18T04:00:00+00:00,2028-07-18T06:00:00+00:00,120,225,845,6,20,2
2028-07-18,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-18T14:00:00-07:00,2028-07-18T16:00:00-07:00,2028-07-18T21:00:00+00:00,2028-07-18T23:00:00+00:00,120,259,845,7,20,2
2028-07-18,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-18T17:30:00-07:00,2028-07-18T19:30:00-07:00,2028-07-19T00:30:00+00:00,2028-07-19T02:30:00+00:00,120,273,845,8,20,2
2028-07-18,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-18T21:00:00-07:00,2028-07-18T23:00:00-07:00,2028-07-19T04:00:00+00:00,2028-07-19T06:00:00+00:00,120,288,845,9,20,2
2028-07-19,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-19T14:00:00-07:00,2028-07-19T16:00:00-07:00,2028-07-19T21:00:00+00:00,2028-07-19T23:00:00+00:00,120,326,845,10,20,2
2028-07-19,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-19T17:30:00-07:00,2028-07-19T19:30:00-07:00,2028-07-20T00:30:00+00:00,2028-07-20T02:30:00+00:00,120,339,845,11,20,2
2028-07-19,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-19T21:00:00-07:00,2028-07-19T23:00:00-07:00,2028-07-20T04:00:00+00:00,2028-07-20T06:00:00+00:00,120,353,845,12,20,2
2028-07-20,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-20T14:00:00-07:00,2028-07-20T16:00:00-07:00,2028-07-20T21:00:00+00:00,2028-07-20T23:00:00+00:00,120,382,845,13,20,2
2028-07-20,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-20T17:30:00-07:00,2028-07-20T19:30:00-07:00,2028-07-21T00:30:00+00:00,2028-07-21T02:30:00+00:00,120,396,845,14,20,2
2028-07-20,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-20T21:00:00-07:00,2028-07-20T23:00:00-07:00,2028-07-21T04:00:00+00:00,2028-07-21T06:00:00+00:00,120,409,845,15,20,2
2028-07-21,3x3 Basketball,Valley Complex 3,Valley,True,False,Preliminary,2028-07-21T14:00:00-07:00,2028-07-21T16:00:00-07:00,2028-07-21T21:00:00+00:00,2028-07-21T23:00:00+00:00,120,441,845,16,20,2
2028-07-21,3x3 Basketball,Valley Complex 3,Valley,True,False,Quarterfinal,2028-07-21T17:30:00-07:00,2028-07-21T19:30:00-07:00,2028-07-22T00:30:00+00:00,2028-07-22T02:30:00+00:00,120,453,845,17,20,2
2028-07-21,3x3 Basketball,Valley Complex 3,Valley,True,False,Quarterfinal,2028-07-21T21:00:00-07:00,2028-07-21T23:00:00-07:00,2028-07-22T04:00:00+00:00,2028-07-22T06:00:00+00:00,120,464,845,18,20,2
2028-07-22,3x3 Basketball,Valley Complex 3,Valley,True,False,Semifinal,2028-07-22T17:00:00-07:00,2028-07-22T19:00:00-07:00,2028-07-23T00:00:00+00:00,2028-07-23T02:00:00+00:00,120,507,845,19,20,2
2028-07-22,3x3 Basketball,Valley Complex 3,Valley,True,False,Final,2028-07-22T21:00:00-07:00,2028-07-22T23:30:00-07:00,2028-07-23T04:00:00+00:00,2028-07-23T06:30:00+00:00,150,521,845,20,20,4
2028-07-19,Archery,N/A,Carson,False,False,N/A,2028-07-19T09:30:00-07:00,2028-07-19T12:00:00-07:00,2028-07-19T16:30:00+00:00,2028-07-19T19:00:00+00:00,150,310,845,1,17,2
2028-07-19,Archery,N/A,Carson,False,False,N/A,2028-07-19T13:30:00-07:00,2028-07-19T16:30:00-07:00,2028-07-19T20:30:00+00:00,2028-07-19T23:30:00+00:00,180,325,845,2,17,2
2028-07-21,Archery,Carson Stadium,Carson,True,False,Final,2028-07-21T19:30:00-07:00,2028-07-21T23:15:00-07:00,2028-07-22T02:30:00+00:00,2028-07-22T06:15:00+00:00,225,460,845,3,17,5
2028-07-22,Archery,Carson Stadium,Carson,True,False,Preliminary,2028-07-22T09:30:00-07:00,2028-07-22T12:35:00-07:00,2028-07-22T16:30:00+00:00,2028-07-22T19:35:00+00:00,185,483,845,4,17,4
